;bridge5m;bridge20m;laje5m;laje20m;rasa5m;rasa20m;;;;;;
bridge5m;1.000;0.811;0.854;0.705;0.746;0.320;;;;;;
bridge20m;;1.000;0.892;0.939;0.908;0.670;;;;;;
laje5m;;;1.000;0.822;0.830;0.484;;;;;;
laje20m;;;;1.000;0.854;0.733;;;;;;
rasa5m;;;;;1.000;0.597;;;;;;
rasa20m;;;;;;1.000;;;;;;
;;;;;;;;;;;;
;MEAN case 1-2952;MEDIAN case 1-2952;SD case 1-2952;VALID_N case 1-2952;SUM case 1-2952;MIN case 1-2952;MAX case 1-2952;_25th% case 1-2952;_75th% case 1-2952;;;
bridge5m;24.50328228;24.267;2.981501106;2951;72309.186;17.177;29.365;22.154;27.308;;;
bridge20m;21.75606201;21.39;3.818621231;2951;64202.139;15.7;28.493;18.366;25.38;;;
rasa5m;23.04500813;23.184;4.219367181;2951;68005.819;14.673;30.041;19.199;27.112;;;
rasa20m;17.80716537;16.963;2.971696274;2951;52548.945;12.871;27.063;15.27;19.674;;;
laje5m;23.52687597;23.328;3.521397691;2951;69427.811;15.748;30.243;20.627;26.671;;;
laje20m;21.4576757;21.175;3.949747072;2951;63321.601;14.912;29.365;17.986;25.113;;;19900
;;;;;;;;;;;;0.011554764
;;;;;;;;;;;;
;;;;;;;;;;;;
;Valid N;Mean;Median;Minimum;Maximum;Lower;Upper;Std.Dev.;KS Test, p<0.01;;;
bridge5m;19923;23.25;23.04;17.01;29.54;21.96;24.27;2.08;0.06;18838.00;1085.00;5.4%
bridge20m;11195;22.20;22.13;15.70;30.75;21.08;23.59;2.65;0.09;10159.00;1036.00;9.3%
rasa5m;11950;21.54;21.56;14.51;30.04;19.34;23.33;3.16;0.04;11904.00;46.00;0.4%
rasa20m;22931;19.54;19.60;12.87;28.89;16.73;21.72;3.09;0.08;22931.00;0.00;0.0%
laje5m;13378;22.32;22.23;15.75;30.24;20.65;23.79;2.52;0.04;13151.00;227.00;1.7%
laje20m;13372;20.78;21.03;14.91;29.37;18.68;22.51;2.76;0.05;13277.00;95.00;0.7%
;;;;;;;;;;;;
;;;;;;;;;;;;
1 missing value;;2 missing values;;3 missing values;;;;;;;;
Variable;Records;Variables;Records;Variables;Records;;;;;;;
bridge5m;2;bridge5m,bridge20m;1;bridge5m,bridge20m,rasa5m;1;;;;;;;
bridge20m;8638;bridge20m,rasa5m;95;rasa5m,laje5m,laje20m;6482;;;;;;;
rasa5m;1674;bridge20m,rasa20m;1;;;;;;;;;
rasa20m;9;rasa5m,laje20m;6;;;;;;;;;
Total;10323;laje5m,laje20m;67;;;;;;;;;
Total;20644;Total;170;Total;6483;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;3vazios;;;;;;;;
;;;;b5b20r5:1;;;;;;;;
;;;;r5l5l20:;6482;;;;;;;
